word,definition,pronunciation
Muscoid,"Of, like or pertaining to mosses; moss-like",muskoit
Jesuitocracy,Government by Jesuits,jesuitokras
Yedda,Grass used to make straw hats,yeta
Régisseur,Stage manager; director; manager,rejiseur
Sophism,Deceptive but plausible intellectualism,sofism
Dehors,Outside of,tehors
Chiminage,Toll paid for going through a forest,shiminaje
Aspersed,"In heraldry, covered with an indefinite number of small figures",asperset
Camaïeu,Monotonous or uninteresting play or literary work,kamaieu
Broderie,Embroidery pattern,broterie
Odible,Worthy of hatred,otible
Finial,Decoration on the top of a gable or spire,finial
Impletion,Filling; fullness; fulfilment,implexion
Heliology,Science of the sun,helioloj
Biune,Combining two entities into one,biune
Vireo,Olive-gray insectivorous American bird,fireo
Zoon,Organism regarded as a complete animal,son
Gnomonics,The art of measuring time using sundials,nomonik
Zwischenzug,Chess move made to play for time,swiskhenzuk
Mutivity,Tendency to alter,mutifit
Epanorthosis,Retraction of statement in order to intensify it,epanorthosis
Xenogamy,Cross-fertilization,senokam
Multisulcate,Many-furrowed,multisulkate
Waterage,Fee paid for travelling on water,wateraje
Graphemics,Study of systems of representing speech in writing,krafemiks
Meatus,Opening of a passage or canal,meatus
Roulade,Melodic embellishment sung to one syllable,roulate
Whiffler,Official who clears way for a procession,wifler
Percipient,Perceiving; observant; perceptive,persipient
Probouleutic,For preliminary deliberation,probouleutik
Vorpal,Keen; deadly,forpal
Neoteny,Retention of juvenile characteristics in a mature organism,neoten
Quiff,Tuft of hair brushed away from the forehead; oiled lock of hair,kuif
Ylem,"In alchemy, substance from which the elements developed",lem
Equivorous,Consuming horseflesh,ekuiforous
Herpetology,Study of reptiles and amphibians,herpetoloj
Umbracious,Shady,umbraksious
Reptation,Act of squirming along a smooth-walled narrow passage,reptaxion
Etamine,Light open-mesh cotton or worsted,etamine
Twingle,To wriggle; to twist,twinkle
Foss,"Ditch, moat, trench or canal",fos
Jansky,Unit of strength of radio wave emission,jansk
Lavic,"Of, like or pertaining to lava",lafik
Hypsometer,Instrument for measuring height of trees through triangulation,hpsometer
Myasthenia,Muscular weakness or debility,myasthenia
Quadragenarian,A person between 40 and 49 years of age,kuatrajenarian
Cispontine,On this or the near side of a bridge,sispontine
Évolué,Primitive person educated in modern ways,efolue
Keelhaul,To punish by dragging under keel of ship,kelhaul
Yelm,A straight bundle of straw used for thatching,yelm
Kelpie,Mischievous water spirit,kelpie
Xenomancy,Divination using strangers,senomans
Bletonism,Alleged ability to find an underground water supply,bletonism
Anchorite,One withdrawn from the world for religious reasons,ankshorite
Bloomery,Factory where iron bars are manufactured,blomer
Lepidopterology,Study of butterflies and moths,lepitopteroloj
Vafrous,Cunning; sly,fafrous
Kish,Solid graphite that separates from pig-iron,kiksh
Vagantes,Wandering monk-scholars,fakantes
Handfast,A firm grip; a contract,hantfast
Entremets,Edible pastry sculpture served between main courses,entremets
Lichenography,Description of lichens,likshenokraf
Zatch,Female genitalia,satksh
Feckless,Feeble; helpless; futile; ineffectual,fekles
Bywoner,Agricultural labourer,bwoner
Egoism,Doctrine that the pursuit of self-interest is the highest good,ekoism
Ulosis,Formation of a scar,ulosis
Gleed,Hot coal; burning ember,klet
Sept,Division of a tribe; clan,sept
Balustrade,Row of columns supporting a stair rail,balustrate
Yird,To bury,yirt
Lyterian,Indicating the end of a disease,lterian
Pectineal,Of the pubic bone,pektineal
Osmidrosis,Emission of ill-smelling sweat,osmitrosis
Narrowcast,To transmit a program aimed at a small segment of the populace,narokast
Contrist,To sadden,kontrist
Scribbleomania,Obsession with scribbling,skribleomania
Prunt,Moulded glass ornament attached to a larger glass object,prunt
Hemiplegic,Paralyzed on one side only,hemiplejik
Volucrine,"Of, like or pertaining to birds; bird-like",folukrine
Crinigerous,Hairy,krinijerous
Beata,Beatified woman,beata
Cerulean,Sky-blue; dark blue,serulean
Dysgenics,The study of racial degeneration,tsjeniks
Vacciniform,Resembling cow-pox,faksiniform
Hylophagous,Eating wood,hlofakous
Wanhope,Despair,wanhope
Bestiarian,Individual opposed to vivisection,besxiarian
Vindemial,"Of, like or pertaining to the vintage",fintemial
Viridigenous,Producing greenness,firitijenous
Fallibilism,The doctrine that empirical knowledge is uncertain,falibilism
Ephelis,Freckle or mole,efelis
Grillage,Framework of timber,krilaje
Museography,Description of the contents of a museum,museokraf
Zymotechnics,The art of fermentation,smotekshniks
Accoucheuse,Female midwife,akkouksheuse
Fasti,Record or register,fasti
Diprotodon,Gigantic prehistoric marsupial with two incisors in lower jaw,tiprototon
Tachistoscope,Instrument for rapidly showing images on a screen to test perception,takshistoskope
Deligation,Bandaging,telikaxion
Geromorphism,Appearing to be older than one's actual age,jeromorfism
Quadrupedation,Stamping with four feet,kuatrupetaxion
Oligarchy,Government by the few,olikarksh
Littoral,"Of, like or pertaining to the shore of a body of water",litoral
Slipslop,Nonsensical talk,slipslop
Xerography,Photocopying,serokraf
Urraca,Noisy South American bird,uraka
Cepaceous,Smelling or tasting of garlic or onion,sepaseous
Jennet,Small Spanish horse,jenet
Illusionism,Belief that the external world is philosophy,iluksionism
Ventriculose,Paunch-bellied,fentrikulose
Gorget,Piece of armour for the throat,korjet
Cuculine,"Of, like or pertaining to cuckoos",kukuline
Vavasour,Feudal noble who is both a liege and a vassal,fafasour
Jaseran,Fine chain mail jacket,jaseran
Petrichor,Pleasant smell accompanying the first rain after a dry spell,petrikshor
Dolent,Mourning; doleful,tolent
Zoomania,Insane fondness for animals,somania
Xenodochium,Building for the reception of strangers,senotokshium
Dexter,Towards the right side,tekster
Waveson,Goods floating on the sea after a shipwreck,wafeson
Jube,Ornamental choir-screen,jube
Charpie,Shredded lint used to dress wounds,sharpie
Aphicide,Killer of aphids,afisite
Tauromachy,Bullfighting,tauromaksh
Valenki,Warm Russian felt boots,falenki
Heterochrony,Divergence from normal time sequence,heterokshron
Velary,Pertaining to the sails of a ship,felar
Velvetine,Cotton with silk pile,felfetine
Zori,Japanese thonged sandals,sori
Limacine,"Of, like or pertaining to slugs",limasine
Deicide,Destruction or killing of a god,teisite
Winterbourne,Intermittent spring of water,winterbourne
Aliquot,Number dividing into another without leaving a remainder,alikuot
Resupine,Lying on the back,resupine
Malaguena,"Spanish dance performed by a couple, similar to the fandango",malakuena
Hyperbole,Impression by extravagant exaggeration,hperbole
Fuliguline,"Of, like or pertaining to sea ducks",fulikuline
Isonephelic,Line connecting points of equal cloud cover,isonefelik
Zodiographer,One who writes about animals,soxiokrafer
Ethnocide,Killing of members of an ethnic group; destruction of a culture,ethnosite
Anthelminthic,Destroying or expelling worms,anthelminthik
Percale,Closely woven lightweight cloth,perkale
Rudstay,Strap over horse's back to which a wagon can be attached,rutsta
Thesial,"Of, like or pertaining to a thesis",theksial
Grapnel,Small anchor used for dragging or grappling,krapnel
Untimeous,Untimely,untimeous
Tow,Bundle of untwisted natural fibres,to
Gliriform,Resembling a rodent,kliriform
Quietism,Doctrine of enlightenment through mental tranquility,kuietism
Rachidian,Of or concerning the spine,rakshitian
Tolypeutine,"Of, like or pertaining to armadillos",tolpeutine
Vertiginate,Dizzy; giddy,fertijinate
Facia,Nameplate or sign above shop,faksia
Valorise,To set a fixed arbitrary price,falorise
Inculpate,To blame; to incriminate,inkulpate
Marl,Clay used as fertilizer,marl
Pichi,Small dark Argentinian armadillo,pikshi
Pusillanimous,Lacking firmness; cowardly; having a weak character,pusilanimous
Brachiferous,Bearing or having branches or arms,brakshiferous
Denticle,Small toothlike structure,tentikle
Rhonchisonant,Making a snorting or snoring noise,rhonkshisonant
Ypsiliform,Shaped like an upsilon,psiliform
Hamate,Hooked,hamate
Kitthoge,Left-handed; awkward,kithoje
Racemation,Cluster or bundle of grapes or any other thing,rasemaxion
Dudgeon,Resentment; offended resignation,tujjeon
Elocation,Removal from someone's control; alienation,elokaxion
Trifarious,Facing three ways,trifarious
Quarender,Dark red apple,kuarenter
Candescent,Glowing hotly,kantessent
Zoogonous,Giving birth to live offspring,sokonous
Refection,Refreshment or relief; a meal,refekxion
Zoophobia,Fear of animals,sofobia
Woubit,A small and shabby person,woubit
Isacoustic,Line connecting points of equal acoustic quality,isakoustik
Pochette,Pocket notecase or wallet,pokshete
Famigerate,To carry news from abroad,famijerate
Tegmen,Covering or shell,tekmen
Sublineation,Act of underlining,sublineaxion
Borné,Limited; narrow-minded,borne
Uletic,"Of, like or pertaining to the gums",uletik
Zugzwang,Chess blockade,sukzwank
Pandemian,Vulgar; sensual,pantemian
Younker,A young person,younker
Pyroballogy,Study of artillery,probaloj
Zonarious,Of or pertaining to a girdle or purse,sonarious
Yonside,On the farther side of,yonsite
Camisole,Straitjacket used for unruly prisoners,kamisole
Windbound,Hindered from sailing by contrary winds,wintbount
Uretic,"Of, like or pertaining to urine",uretik
Trapunto,Kind of quilting in which only the design is padded,trapunto
Mysophobia,Fear of contamination or dirt,msofobia
Oryctognosy,Mineralogy,orktoknos
Sarabande,Stately Spanish Baroque court dance,sarabante
Ginnery,Place where cotton is ginned,jiner
Trenchant,Incisive; terse; vigorous,trenkshant
Ontocyclic,Returning to an infantile state or character in old age,ontosklik
Kolo,Central European folk dance having a ring of dancers,kolo
Xeric,Dry; lacking in moisture,serik
Wherry,Light shallow boat; barge,wer
Supinate,To lie on one's back; to make to lie on the back,supinate
Bufotenine,Hallucinogen found in certain tropical toads,bufotenine
Miasma,Foul vapours from rotting matter; unwholesome air,miasma
Iroko,West African hardwood tree,iroko
Nomology,The science of the laws; especially of the mind,nomoloj
Onychotillomania,Compulsive picking at the fingernails,onkshotilomania
Gradatim,Step by step,kratatim
Sublate,To deny; to contradict; to resolve a contradiction,sublate
Kohlrabi,Variety of cabbage,kolrabi
Nihilism,Denial of all reality; extreme scepticism,nihilism
Bantling,Brat; whelp; bastard child,bantlink
Ithomiid,Tropical South American butterfly,ithomit
Vermilion,Bright red,fermilion
Habanera,Slow and seductive Cuban dance,habanera
Metapsychology,Study of nature of the mind,metapsksholoj
Coenaculous,Fond of dining; relishing food; especially suppers,koenakulous
Nexility,Compactness of speech,neksilit
Estafette,Military courier or express,estafete
Culex,Mosquito,kuleks
Pronomination,Description of a thing by its qualities rather than its proper name,pronominaxion
Vert,To convert religions; a religious convert,fert
Quaestor,Ancient magistrate; a medieval pardoner,kuaestor
Antarchy,Opposition to government; anarchy,antarksh
Stoup,Vessel for holding holy water,stoup
Perennate,To live perennially; to survive from season to season,perenate
Strepsis,Twisting,strepsis
Fluminous,Having many rivers or streams,fluminous
Handsel,Inaugural gift; first installment or payment,hantsel
Niaiserie,Simplicity; foolishness,niaiserie
Singspiel,Semi-dramatic play in dialogue and song,sinkspiel
Docimology,The art of assaying,tosimoloj
Omoplatoscopy,Divination by observing cracks in burning scapulae,omoplatoskop
Miniver,Ermine in winter coat; ermine or squirrel fur,minifer
Zek,Inmate of prison labour camp,sek
Quotum,A number considered in its proportion to a larger number,kuotum
Ruffianize,To behave violently or brutally,rufianise
Hagiocracy,Government by holy men,hajiokras
Lithophagous,Stone-swallowing; rock-boring; eating rock,lithofakous
Nervifolious,Having leaves with prominent veins,nerfifolious
Breastsummer,Beam supporting front of a building; bressummer,breastsumer
Micropodal,Having extremely small feet,mikropotal
Navalism,Cult of naval supremacy or seapower,nafalism
Teichoscopy,Observation from the perspective of a wall,teikshoskop
Sedent,Seated,setent
Homoousia,Identicality in substance,homouksia
Protreptic,Exhorting; encouraging; didactic; doctrinal,protreptik
Revirescent,Growing young or strong again,refiressent
Ethnogenesis,Origin of an ethnic group,ethnojenesis
Jackyard,Spar used to spread the foot of a gaff-topsail,jakyart
Rameal,"Of, like or pertaining to branches",rameal
Moneyocracy,Government by the monied classes,moneyokras
Vaticinal,Of or characterized by prophecy; prophetic,fatisinal
Antilegomena,Books of the New Testament not part of early Christian Bible,antilekomena
Constructivism,Belief that knowledge and reality do not have an objective value,konstruktifism
Ictic,"Of, pertaining to, or caused by, a blow or stroke; pertaining to metrical stress",iktik
Transom,Structure dividing a window horizontally; horizontal bar,transom
Borage,Rough-stemmed herb used in salads,boraje
Charivari,Cacophonous mock-serenade performed for wedding,sharifari
Absorptiometer,Instrument for measuring solubility of gases in liquids,absorpxiometer
Frankalmoign,Land tenure requiring religious obligations on part of tenant,frankalmoin
